trait,n_total,n_pos,AUPRC,coverage,cov_pos,cov_neg,frac_singleton,frac_both,frac_empty
MIM 125850,40,4,1.0,0.9,1.0,0.8888888888888888,0.725,0.2,0.075
MIM 127550,40,4,0.95,0.875,0.75,0.8888888888888888,0.775,0.15,0.075
MIM 141749,60,6,1.0,0.9166666666666666,1.0,0.9074074074074074,0.7,0.23333333333333334,0.06666666666666667
MIM 143890,120,12,1.0,0.875,1.0,0.8611111111111112,0.7083333333333334,0.20833333333333334,0.08333333333333333
MIM 174500,140,14,0.9512987012987012,0.9857142857142858,0.9285714285714286,0.9920634920634921,0.9071428571428571,0.09285714285714286,0.0
MIM 180200,60,6,1.0,0.8333333333333334,1.0,0.8148148148148148,0.6,0.2833333333333333,0.11666666666666667
MIM 187300,30,3,1.0,0.9333333333333333,1.0,0.9259259259259259,0.7333333333333333,0.26666666666666666,0.0
MIM 188000,90,9,0.1899386499990695,0.7777777777777778,0.2222222222222222,0.8395061728395061,0.7333333333333333,0.2111111111111111,0.05555555555555555
MIM 210710,100,10,0.9999999999999999,0.99,1.0,0.9888888888888889,0.86,0.13,0.01
MIM 227500,50,5,0.9666666666666666,0.88,1.0,0.8666666666666667,0.72,0.22,0.06
MIM 250250,200,20,0.6855129291013158,0.865,0.55,0.9,0.73,0.215,0.055
MIM 263700,30,3,1.0,0.9666666666666667,1.0,0.9629629629629629,0.7666666666666667,0.23333333333333334,0.0
MIM 277900,40,4,0.2505541871921182,0.85,0.25,0.9166666666666666,0.825,0.175,0.0
MIM 300624,40,4,1.0,0.95,1.0,0.9444444444444444,0.7,0.275,0.025
MIM 304790,30,3,1.0,0.8666666666666667,1.0,0.8518518518518519,0.6,0.3,0.1
MIM 306400,40,4,1.0,0.875,1.0,0.8611111111111112,0.65,0.275,0.075
MIM 306700,60,6,1.0,0.9166666666666666,1.0,0.9074074074074074,0.7833333333333333,0.18333333333333332,0.03333333333333333
MIM 306900,210,21,0.9958592132505176,0.9047619047619048,1.0,0.8941798941798942,0.7761904761904762,0.15714285714285714,0.06666666666666667
MIM 600886,250,25,1.0,0.896,1.0,0.8844444444444445,0.724,0.216,0.06
MIM 605407,30,3,1.0,0.9,1.0,0.8888888888888888,0.8333333333333334,0.1,0.06666666666666667
MIM 606176,30,3,0.49831649831649827,0.9333333333333333,0.6666666666666666,0.9629629629629629,0.7333333333333333,0.23333333333333334,0.03333333333333333
MIM 608030,40,4,1.0,0.875,1.0,0.8611111111111112,0.725,0.175,0.1
MIM 609310,30,3,0.9166666666666665,1.0,1.0,1.0,0.6,0.4,0.0
MIM 609637,40,4,1.0,0.875,1.0,0.8611111111111112,0.875,0.1,0.025
MIM 613985,230,23,0.9754972363668014,0.9043478260869565,0.9565217391304348,0.8985507246376812,0.7260869565217392,0.2,0.07391304347826087
MIM 614167,30,3,1.0,0.9666666666666667,1.0,0.9629629629629629,0.8,0.2,0.0
MIM 614429,40,4,1.0,1.0,1.0,1.0,0.75,0.25,0.0
MIM 614743,220,22,0.9999999999999998,0.9318181818181818,1.0,0.9242424242424242,0.759090909090909,0.18636363636363637,0.05454545454545454
MIM 615935,50,5,1.0,0.98,1.0,0.9777777777777777,0.86,0.12,0.02
MIM 616651,50,5,1.0,0.88,1.0,0.8666666666666667,0.76,0.12,0.12
